id_pelicula,"tuplas_actores"
tt1800301,"[('Al Bianchi', 'NULL', ['Reparto', 'Dirección de casting', 'Reparto'], ['su papel en Yo, Tonya', 'The Red, Black and Blonde: God $ave', 'Velma Is Living'], 'NULL'), ('Thomas Brown', 'NULL', ['Reparto', 'Reparto'], ['su papel en The Red, Black and Blonde: God $ave'], 'NULL'), ('Gerry Cheney', 'NULL', ['Reparto', 'Reparto'], ['su papel en The Red, Black and Blonde: God $ave', 'Corruption'], 'NULL'), ('Rabbit Duran', 'NULL', ['Reparto', 'Reparto'], ['su papel en The Red, Black and Blonde: God $ave'], 'NULL'), ('Chelsey Green', 'NULL', ['Reparto', 'Reparto'], ['su papel en The Red, Black and Blonde: God $ave', 'Bed Time Ghost Tales'], 'NULL'), ('Kevin Grogen', 'NULL', ['Reparto', 'Reparto'], ['su papel en The Red, Black and Blonde: God $ave'], 'NULL'), ('Elizabeth Hoots', 'NULL', ['Reparto', 'Cámara y electricidad', 'Reparto'], ['su papel en The Red, Black and Blonde: God $ave', 'Wet Behind the Ears', 'Bleed'], 'NULL'), ('Laurence Love', 'NULL', ['Sonido', 'Reparto', 'Sonido'], ['su papel en The Red, Black and Blonde: God $ave', 'Billy Bates'], 'NULL'), ('Josh Miley', 'NULL', ['Reparto', 'Reparto'], ['su papel en The Red, Black and Blonde: God $ave'], 'NULL'), ('Russel Minton', 'NULL', ['Reparto', 'Reparto'], ['su papel en Between Kings and Queens', 'The Red, Black and Blonde: God $ave', 'The Walk with Darkness'], 'NULL')]"
tt1847719,"[('Dennis Haladyn', 'NULL', ['Reparto', 'Especialistas', 'Guion'], ['su papel en Tell Me Your Secret', 'Enter the Cowboy', 'Westbrick Murders'], ['Action on Film International Film Festival, USA 2017 Nominado Action on Film Award Best Foreign Film - Short Enter the Cowboy Compartido con: Jack Hansen 2017 Nominado Action on Film Award Best Western Enter the Cowboy Compartido con: Jack Hansen 2012 Nominado Action on Film Award Best Supporting Actor Små mænd', 'CPH PIX 2016 Ganador Movie Battle The Shoot Out Award Enter the Cowboy Compartido con: Jack Hansen 2012 Nominado Movie Battle Best Acting Performance Supernatural Tales', 'Berlin Short Film Festival 2017 Ganador Jury Prize Best Comedy Short Film Enter the Cowboy Compartido con: Jack Hansen', '60 Seconds Festival 2014 Ganador Audience Award Tell Me Your Secret Compartido con: Daniel Urhøj', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir']), ('David Sakurai', 'NULL', ['Reparto', 'Producción', 'Guion'], ['Animales fantásticos: Los crímenes de Grindelwald', 'Avatar: La leyenda de Aang', 'El hombre en el castillo'], ['Action on Film International Film Festival, USA 2014 Nominado Action on Film Award Male Action Performer of the Year Echoes of a Ronin 2014 Nominado Action on Film Award Breakout Action Star - Male - Short Echoes of a Ronin 2010 Ganador Action on Film Award Breakout Action Star - Male - Short Eastern Army', 'CPH PIX 2012 Nominado Movie Battle Best Acting Performance Supernatural Tales 2010 Ganador Movie Battle Best Actor Eastern Army', 'Los Angeles New Wave International Film Festival, US 2011 Ganador Short Film Award Best Stunts Eastern Army Compartido con: Philip Th. Pedersen', 'American International Film Festival, San Gabriel 2010 Nominado AIFF Award Best Actor Eastern Army', 'Nightmares Film Festival 2017 Nominado Nightmares Film Festival Award Best Actor Feature Le Accelerator']), ('Daniell Edwards', '1980', ['Reparto', 'Especialistas', 'Producción'], ['Ud af mørket', 'Westbrick Murders', 'Pistoleros'], 'NULL'), ('Maja Muhlack', '1977', ['Reparto', 'Producción', 'Reparto'], ['Westbrick Murders', 'One Hell of a Christmas', 'The Horror Vault'], 'NULL'), ('Hector Vega Mauricio', '1965', ['Reparto', 'Producción', 'Dirección'], ['Supernatural Tales', 'Pistoleros', 'One Hell of a Christmas'], 'NULL'), ('Ted Pappas', '1953', ['Reparto', 'Reparto'], ['The Last Demon Slayer', 'Cuando un hombre vuelve a casa', 'Frihed på prøve'], 'NULL'), ('Erik Holmey', '1942', ['Reparto', 'Reparto'], ['Conan, el bárbaro', 'One Hell of a Christmas', 'Pistoleros'], 'NULL'), ('Joon Poore', 'NULL', ['Especialistas', 'Reparto', 'Edición'], ['su papel en Shrouded Destiny: A Star Wars Long Tale'], 'NULL')]"
tt10270648,"[('London Albert', 'NULL', ['Reparto', 'Guion', 'Edición'], ['su papel en Martinelli a Star Wars Fan Story'], 'NULL'), ('Jaleah Ivory', 'NULL', ['Reparto', 'Producción', 'Reparto'], ['su papel en Martinelli a Star Wars Fan Story'], 'NULL'), ('Jamya Ivory', 'NULL', ['Reparto', 'Producción', 'Reparto'], ['su papel en Martinelli a Star Wars Fan Story'], 'NULL'), ('Erik Martinelli', 'NULL', ['Reparto', 'Reparto'], ['su papel en Martinelli a Star Wars Fan Story', 'Undead Radio'], 'NULL'), ('Michelle Martinelli', 'NULL', ['Reparto', 'Reparto'], ['su papel en Martinelli a Star Wars Fan Story', 'Undead Radio'], 'NULL'), ('Vincent Martinelli', 'NULL', ['Reparto', 'Producción', 'Reparto'], ['su papel en The Adventures of Jackson Silo, Messy the Cat: The Movie y Martinelli a Star Wars Fan Story'], 'NULL'), ('Jessica Williams', 'NULL', ['Reparto', 'Reparto'], ['su papel en Martinelli a Star Wars Fan Story'], 'NULL'), ('Joshua Williams', 'NULL', ['Dirección', 'Reparto', 'Guion'], ['su papel en Judge Jhorts', 'Dr'], 'NULL'), ('Mark Williams', 'NULL', ['Reparto', 'Edición', 'Producción'], ['su papel en The Adventures of Jackson Silo y Martinelli a Star Wars Fan Story'], 'NULL')]"
tt14991492,"[('Fernando Rocha', '1975', ['Reparto', 'Guion', 'Reparto'], ['Balas & Bolinhos: O Último Capítulo', 'Maré Alta', 'Balas & Bolinhos - O Regresso'], 'NULL'), ('João Seabra', 'NULL', ['Reparto', 'Guion', 'Reparto'], ['su papel en 2 Duros de Roer', 'Balas & Bolinhos: O Último Capítulo', 'Do Outro Lado do Tejo'], 'NULL'), ('Mafalda Luís de Castro', '1989', ['Reparto', 'Reparto'], ['Lua Vermelha', 'Ana y los siete', '2 Duros de Roer'], 'NULL'), ('Melânia Gomes', 'NULL', ['Reparto', 'Reparto'], ['su papel en Maré Alta', 'A Impostora', 'Deixa Que Te Leve'], 'NULL'), ('Susana Cacela', 'NULL', ['Reparto', 'Reparto'], ['su papel en Maré Alta', 'Mar Salgado', '2 Duros de Roer'], 'NULL'), ('Jorge Mourato', '1974', ['Reparto', 'Reparto'], ['Bem-Vindos a Beirais', 'Laços de Sangue', 'País Irmão'], 'NULL'), ('Aldo Lima', 'NULL', ['Reparto', 'Guion', 'Reparto'], ['su papel en Conexão', 'Arte de Roubar', 'Miss Beijo'], 'NULL'), ('Francisco Menezes', '1973', ['Reparto', 'Guion', 'Producción'], ['Bad Investigate', 'Balas & Bolinhos: O Último Capítulo', '2 Duros de Roer'], 'NULL'), ('Alexandre Santos', 'NULL', ['Reparto', 'Reparto'], ['su papel en 2 Duros de Roer'], 'NULL'), ('Joaquim Guerreiro', '1966', ['Reparto', 'Guion', 'Reparto'], ['Mutant Blast', 'Era Uma Vez'], 'NULL')]"
tt2363363,"[('Ken Duken', '1979', ['Reparto', 'Producción', 'Dirección'], ['Max Manus', 'Malditos bastardos', 'Destino: La saga Winx'], ['Grimme Award 2008 Ganador Adolf Grimme Award Fiction En otra Liga Compartido con: Buket Alakus · Jan Berger · Karoline Herfurth · Thierry van Werveke 2005 Ganador Adolf Grimme Award Fiction/Entertainment Kiss and Run Compartido con: Maggie Peren · Annette Ernst', 'Bavarian TV Awards 2017 Nominado Bavarian TV Award Best Actor in a Movie Made for Television (Bester Schauspieler - Fernsehspiel/Fernsehfilm) Tempel 2009 Ganador Bavarian TV Award Best Actor in a Movie Made for Television (Bester Schauspieler - Fernsehspiel/Fernsehfilm) Willkommen zuhause', 'German Television Awards 2017 Nominado German Television Award Best Actor (Bester Schauspieler) TempelDuelo de hermanos: La historia de Adidas y Puma', 'Max Ophüls Festival 2005 Nominado Best Short Film From Another Point of View Compartido con: Bernd Katzmarczyk', 'Monte-Carlo TV Festival 2011 Nominado Golden Nymph Mini-Series - Best Performance by an Actor Laconia, el hundimiento']), ('Dagny Dewath', '1981', ['Reparto', 'Reparto'], ['Sturm der Liebe', 'Robin Hood', 'Professor T'], 'NULL'), ('Matthias Koeberlin', '1974', ['Reparto', 'Banda sonora', 'Reparto'], ['Tornado - La furia del cielo', 'Fugitivos', 'Lutter'], ['Bavarian TV Awards 2011 Nominado Bavarian TV Award Best Actor in a Movie Made for Television (Bester Schauspieler - Fernsehspiel/Fernsehfilm) Restrisiko', 'German Television Awards 2007 Ganador German Television Award Best Actor (Bester Schauspieler) Tornado - La furia del cielo', 'Günter Strack TV Award 2000 Ganador Günter Strack TV Award Best Young Actor Ben & Maria - Liebe auf den zweiten Blick', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir', 'Más de esta persona']), ('Stipe Erceg', '1974', ['Reparto', 'Producción', 'Reparto'], ['Los edukadores', 'Sin identidad', 'RAF Facción del ejército rojo'], [""Grimme Award 2013 Ganador Audience Award of the 'Marl Group' Blaubeerblau Compartido con: Rainer Kaufmann · Beate Langmaack · Devid Striesow"", 'Max Ophüls Festival 2004 Ganador Best Young Actor Yugotrip', 'Munich Film Festival 2004 Ganador Young German Cinema Award Acting - Male (Schauspiel - männlich) Such mich nichtLos edukadores', 'Hessian TV Award 2012 Ganador Hessian TV Award Best Actor (Bester Darsteller) Blaubeerblau', 'New Faces Awards, Germany 2005 Nominado New Faces Award Actor Los edukadores'])]"
tt25402886,[]
tt26686370,"[('Anmol K.C.', 'NULL', ['Reparto', 'Producción', 'Reparto'], ['su papel en Dreams', 'Super Star', 'Karodpati'], 'NULL'), ('Resha Ale Magar', 'NULL', ['Reparto', 'Reparto'], ['su papel en Chhadke 2'], 'NULL'), ('Santosh Mizar', 'NULL', ['Reparto', 'Reparto'], ['su papel en Chhadke 2'], 'NULL'), ('Kamal Mani Nepal', 'NULL', ['Reparto', 'Reparto'], ['su papel en Taandro', 'Jatra', 'Kabaddi'], 'NULL'), ('Pradip Raut', '2004', ['Reparto', 'Reparto'], ['Chhadke 2'], 'NULL'), ('Robin Tamang', '1963', ['Reparto', 'Música', 'Banda sonora'], ['Chhadke 2'], 'NULL')]"
tt26749149,"[('Davin Broadhurst', 'NULL', ['Reparto', 'Reparto'], ['su papel en Payphone', 'Sunshine & Rainbows', 'The Red Canary'], 'NULL'), ('Brandon Criswell', 'NULL', ['Reparto', 'Reparto'], ['su papel en Payphone'], 'NULL'), ('Evan Barnard', 'NULL', ['Reparto', 'Equipos adicionales', 'Reparto'], ['su papel en Spider-Man: Hunted', 'Payphone', 'Darryl vs'], 'NULL'), ('Christopher Sabolcik', 'NULL', ['Reparto', 'Reparto'], ['su papel en Payphone'], 'NULL'), ('Collins Cornwell', 'NULL', ['Reparto', 'Reparto'], ['su papel en Payphone'], 'NULL'), ('Jayden Peszko', 'NULL', ['Reparto', 'Reparto'], ['su papel en Payphone', 'Dingus', 'Three'], 'NULL'), ('Nifa Aulo', 'NULL', ['Reparto', 'Reparto'], ['su papel en Payphone'], 'NULL'), ('Justin Cho', 'NULL', ['Dirección', 'Dirección de fotografía y cámara', 'Edición'], ['su papel en Payphone', 'Three'], 'NULL'), ('Charlie McVickers', 'NULL', ['Reparto', 'Reparto'], ['su papel en Payphone'], 'NULL'), ('Kaylie Beard', 'NULL', ['Reparto', 'Reparto'], ['su papel en Payphone'], 'NULL')]"
tt28600432,"[('Sky Sengnaryvong', 'NULL', ['Reparto', 'Reparto'], ['John Lick My Nuts', 'A Knives Day Out', 'Cult Wars: Episode I - The Fandom Menace'], 'NULL'), ('Francis Brissette', 'NULL', ['Reparto', 'Guion', 'Reparto'], ['su papel en Cult Wars: Episode I - The Fandom Menace', 'Tony the Toxic Owl: Toxic Shorts', 'John Lick My Nuts'], 'NULL'), ('Jerry Werdann', 'NULL', ['Reparto', 'Dirección', 'Guion'], ['su papel en Tony the Toxic Owl: Toxic Shorts', 'Cult Wars: Episode I - The Fandom Menace', 'John Lick My Nuts'], 'NULL')]"
tt11006570,"[('Anaïs Demoustier', '1987', ['Reparto', 'Música', 'Banda sonora'], [""L'enfance du mal"", 'Las nieves del Kilimanjaro', 'Los consejos de Alice'], ['Berlin International Film Festival 2010 Ganador EFP Shooting Star France.', 'César Awards, France 2023 Nominado César Best Supporting Actress (Meilleure actrice dans un second rôle) Novembre 2020 Ganador César Best Actress (Meilleure actrice) Los consejos de Alice 2018 Nominado César Best Supporting Actress (Meilleure actrice dans un second rôle) La casa junto al mar 2011 Nominado César Most Promising Actress (Meilleur espoir féminin) De amor y de agua fresca 2009 Nominado César Most Promising Actress (Meilleur espoir féminin) Les grandes personnes', ""Karlovy Vary International Film Festival 2010 Ganador Best Actress L'enfance du mal"", 'SACD Awards 2011 Ganador Suzanne Bianchetti Award', 'Lumiere Awards, France 2020 Nominado Lumiere Award Best Actress (Meilleure actrice) Los consejos de Alice']), ('Josiane Balasko', '1950', ['Reparto', 'Guion', 'Dirección'], ['Felpudo maldito', 'El quimérico inquilino', 'La clienta'], ['César Awards, France 2021 Ganador Anniversary César 2020 Nominado César Best Supporting Actress (Meilleure actrice dans un second rôle) Gracias a Dios 2004 Nominado César Best Actress (Meilleure actrice) Cette femme-là 2000 Ganador Honorary César 1996 Nominado César Best Director (Meilleur réalisateur) Felpudo maldito 4 más', 'Palm Springs International Film Festival 1996 Ganador Audience Award Best Foreign Language Film Felpudo maldito', 'Sundance Film Festival 2009 Nominado Grand Jury Prize World Cinema - Dramatic La clienta', 'Lumiere Awards, France 1996 Ganador Lumiere Award Best Screenplay (Meilleur scénario) Felpudo maldito', ""Rome Film Fest 2008 Nominado Golden Marc'Aurelio Award La clienta""]), ('Philippe Katerine', '1968', ['Reparto', 'Composición', 'Guion'], ['El gran baño', 'La verdad sobre Charlie', 'Gainsbourg (Vida de un héroe'], 'NULL'), ('William Lebghil', '1990', ['Reparto', 'Banda sonora', 'Reparto'], ['Mentes brillantes', ""C'est la vie"", 'Yves'], ['César Awards, France 2019 Nominado César Most Promising Actor (Meilleur espoir masculin) Mentes brillantes', 'Lumiere Awards, France 2019 Nominado Lumiere Award Most Promising Actor (Meilleure révélation masculine) Mentes brillantes', 'Club Média Ciné 2019 Ganador Breakthrough Actress (Prix Révélation Féminine) Mentes brillantes', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir', 'Más de esta persona']), ('Sergi López', '1965', ['Reparto', 'Banda sonora', 'Reparto'], ['El laberinto del fauno', 'Negocios ocultos', 'Harry, un amigo que os quiere'], ['Academy of Science Fiction, Fantasy & Horror Films, USA 2007 Nominado Saturn Award Best Supporting Actor El laberinto del fauno', ""Acteurs à l'Écran 1993 Ganador Prix Michel Simon Best Actor La petite amie d'Antonio"", 'Amiens International Film Festival 2015 Ganador Best Actor Un día perfecto para volar', 'Sitges - Catalonian International Film Festival 1997 Ganador Gran Angular Award Best Actor Western', 'César Awards, France 2001 Ganador César Best Actor (Meilleur acteur) Harry, un amigo que os quiere 1998 Nominado César Most Promising Actor (Meilleur jeune espoir masculin) Western']), ('Philippe Duquesne', '1965', ['Reparto', 'Banda sonora', 'Reparto'], ['Largo domingo de noviazgo', 'Bienvenidos al Norte', 'La verdad sobre Charlie'], 'NULL'), ('Olivier Broche', 'NULL', ['Reparto', 'Producción', 'Dirección'], ['su papel en La verdad sobre Charlie', 'El instante más oscuro', 'Chez Maupassant'], 'NULL'), ('Jocelyne Augier', 'NULL', ['Reparto', 'Reparto'], ['su papel en La pièce rapportée', 'Yann'], 'NULL'), ('Christian Taponard', 'NULL', ['Reparto', 'Reparto'], [""su papel en Le retour d'Arsène Lupin"", 'El pequeño Nicolás', 'Pour une femme'], 'NULL'), ('Olivier Degorgue', 'NULL', ['Reparto', 'Reparto'], ['su papel en The Impact', 'Enfers y Interpol'], 'NULL')]"
